ip,mac_addresses,hostnames,protocols,first_seen,last_seen,sent_events,received_events
172.23.4.42,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:50.844091Z,2024-11-04T13:06:50.844091Z,0,1
172.23.4.43,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:51.442819Z,2024-11-04T13:06:51.442819Z,0,1
172.23.4.44,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:51.848781Z,2024-11-04T13:06:51.848781Z,0,1
172.23.4.45,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:52.437434Z,2024-11-04T13:06:52.437434Z,0,1
172.23.4.46,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:52.864229Z,2024-11-04T13:06:52.864229Z,0,1
172.23.4.47,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:53.473101Z,2024-11-04T13:06:53.473101Z,0,1
172.23.4.48,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:53.840810Z,2024-11-04T13:06:53.840810Z,0,1
172.23.4.49,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:54.364788Z,2024-11-04T13:06:54.364788Z,0,1
172.23.4.5,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:34.346117Z,2024-11-04T13:06:34.346117Z,0,1
172.23.4.50,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:54.876651Z,2024-11-04T13:06:54.876651Z,0,1
172.23.4.51,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:55.364113Z,2024-11-04T13:06:55.364113Z,0,1
172.23.4.52,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:55.845092Z,2024-11-04T13:06:55.845092Z,0,1
172.23.4.53,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:56.342965Z,2024-11-04T13:06:56.342965Z,0,1
172.23.4.54,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:56.897316Z,2024-11-04T13:06:56.897316Z,0,1
172.23.4.55,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:57.348185Z,2024-11-04T13:06:57.348185Z,0,1
172.23.4.56,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:57.847241Z,2024-11-04T13:06:57.847241Z,0,1
172.23.4.57,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:58.350409Z,2024-11-04T13:06:58.350409Z,0,1
172.23.4.58,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:58.896628Z,2024-11-04T13:06:58.896628Z,0,1
172.23.4.59,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:59.457652Z,2024-11-04T13:06:59.457652Z,0,1
172.23.4.6,,,icmp;tcp,2024-11-04T13:05:08.247182Z,2024-11-04T13:07:49.614542Z,34,67
172.23.4.60,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:59.852188Z,2024-11-04T13:06:59.852188Z,0,1
172.23.4.61,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:00.349540Z,2024-11-04T13:07:00.349540Z,0,1
172.23.4.62,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:00.904302Z,2024-11-04T13:07:00.904302Z,0,1
172.23.4.63,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:01.339050Z,2024-11-04T13:07:01.339050Z,0,1
172.23.4.64,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:01.853714Z,2024-11-04T13:07:01.853714Z,0,1
172.23.4.65,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:02.340462Z,2024-11-04T13:07:02.340462Z,0,1
172.23.4.66,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:02.858142Z,2024-11-04T13:07:02.858142Z,0,1
172.23.4.67,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:03.346048Z,2024-11-04T13:07:03.346048Z,0,1
172.23.4.68,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:03.849455Z,2024-11-04T13:07:03.849455Z,0,1
172.23.4.69,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:04.349326Z,2024-11-04T13:07:04.349326Z,0,1
172.23.4.7,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:34.873110Z,2024-11-04T13:06:34.873110Z,0,1
172.23.4.70,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:04.842121Z,2024-11-04T13:07:04.842121Z,0,1
172.23.4.71,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:05.365974Z,2024-11-04T13:07:05.365974Z,0,1
172.23.4.72,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:05.839364Z,2024-11-04T13:07:05.839364Z,0,1
172.23.4.73,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:06.353231Z,2024-11-04T13:07:06.353231Z,0,1
172.23.4.74,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:06.838681Z,2024-11-04T13:07:06.838681Z,0,1
172.23.4.75,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:07.531197Z,2024-11-04T13:07:07.531197Z,0,1
172.23.4.76,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:07.901967Z,2024-11-04T13:07:07.901967Z,0,1
172.23.4.77,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:08.432049Z,2024-11-04T13:07:08.432049Z,0,1
172.23.4.78,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:08.864752Z,2024-11-04T13:07:08.864752Z,0,1
172.23.4.79,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:09.397497Z,2024-11-04T13:07:09.397497Z,0,1
172.23.4.8,,,icmp;tcp,2024-11-04T13:05:08.132313Z,2024-11-04T13:07:49.614010Z,37,68
172.23.4.80,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:09.840227Z,2024-11-04T13:07:09.840227Z,0,1
172.23.4.81,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:10.417848Z,2024-11-04T13:07:10.417848Z,0,1
172.23.4.82,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:10.865494Z,2024-11-04T13:07:10.865494Z,0,1
172.23.4.83,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:11.367986Z,2024-11-04T13:07:11.367986Z,0,1
172.23.4.84,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:11.840125Z,2024-11-04T13:07:11.840125Z,0,1
172.23.4.85,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:12.415365Z,2024-11-04T13:07:12.415365Z,0,1
172.23.4.86,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:12.874043Z,2024-11-04T13:07:12.874043Z,0,1
172.23.4.87,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:13.351437Z,2024-11-04T13:07:13.351437Z,0,1
172.23.4.88,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:13.849469Z,2024-11-04T13:07:13.849469Z,0,1
172.23.4.89,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:14.418555Z,2024-11-04T13:07:14.418555Z,0,1
172.23.4.9,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:06:35.342709Z,2024-11-04T13:06:35.342709Z,0,1
172.23.4.90,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:14.839573Z,2024-11-04T13:07:14.839573Z,0,1
172.23.4.91,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:15.535243Z,2024-11-04T13:07:15.535243Z,0,1
172.23.4.92,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:15.854806Z,2024-11-04T13:07:15.854806Z,0,1
172.23.4.93,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:16.361369Z,2024-11-04T13:07:16.361369Z,0,1
172.23.4.94,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:16.849598Z,2024-11-04T13:07:16.849598Z,0,1
172.23.4.95,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:17.415471Z,2024-11-04T13:07:17.415471Z,0,1
172.23.4.96,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:17.848517Z,2024-11-04T13:07:17.848517Z,0,1
172.23.4.97,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:18.340748Z,2024-11-04T13:07:18.340748Z,0,1
172.23.4.98,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:18.879551Z,2024-11-04T13:07:18.879551Z,0,1
172.23.4.99,00:00:00:00:00:00;08:00:27:9d:91:60,,arp,2024-11-04T13:07:19.344403Z,2024-11-04T13:07:19.344403Z,0,1
18.64.37.44,,sb.scorecardresearch.com,tcp;tls,2024-11-04T13:05:37.931040Z,2024-11-04T13:05:40.588016Z,11,9
192.124.249.13,,www.exploit-db.com,tcp;tls,2024-11-04T13:05:34.438499Z,2024-11-04T13:05:40.604263Z,767,200
20.194.184.156,,dl-edge.smartscreen.microsoft.com;nav-edge.smartscreen.microsoft.com,tcp;tls,2024-11-04T13:05:20.822382Z,2024-11-04T13:06:10.747533Z,104,101
20.24.125.47,,arc.msn.com,tcp;tls,2024-11-04T13:06:00.159308Z,2024-11-04T13:06:00.671014Z,20,20
204.79.197.203,,api.msn.com;ntp.msn.com;srtb.msn.com,tcp;tls,2024-11-04T13:05:37.328076Z,2024-11-04T13:05:50.600335Z,320,129
204.79.197.219,,r.msftstatic.com,tcp;tls,2024-11-04T13:05:41.246634Z,2024-11-04T13:05:50.600299Z,24,20
204.79.197.237,,c.bing.com,tcp;tls,2024-11-04T13:05:37.821148Z,2024-11-04T13:05:40.594254Z,20,19
216.105.38.9,,,tcp,2024-11-04T13:05:14.412939Z,2024-11-04T13:05:14.612133Z,1,2
216.239.38.120,,www.google.co.id,tcp;tls,2024-11-04T13:05:36.043646Z,2024-11-04T13:05:40.603825Z,20,20
216.239.38.181,,analytics.google.com,tcp;tls,2024-11-04T13:05:36.022470Z,2024-11-04T13:05:40.594325Z,20,19
23.195.156.175,,ecn.dev.virtualearth.net,tcp;tls,2024-11-04T13:05:38.747002Z,2024-11-04T13:05:40.594203Z,64,36
23.195.156.30,,assets.msn.cn,tcp;tls,2024-11-04T13:05:37.978288Z,2024-11-04T13:05:40.607519Z,50,40
23.215.35.11,,www.bing.com,tls,2024-11-04T13:05:12.324270Z,2024-11-04T13:05:12.334825Z,1,2
23.215.35.20,,www.bing.com,tls,2024-11-04T13:05:37.816788Z,2024-11-04T13:05:41.589118Z,2,4
23.215.35.21,,www.bing.com,tls,2024-11-04T13:06:29.303875Z,2024-11-04T13:06:29.312619Z,1,2
23.215.35.22,,r.bing.com;th.bing.com,icmp;tls,2024-11-04T13:05:23.375123Z,2024-11-04T13:05:23.487903Z,2,5
23.215.7.5,,consent.cookiebot.com,tcp;tls,2024-11-04T13:05:34.652121Z,2024-11-04T13:05:40.607418Z,57,28
23.9.199.195,,consentcdn.cookiebot.com,tcp;tls,2024-11-04T13:05:34.996695Z,2024-11-04T13:05:40.594892Z,57,40
34.117.77.79,,ml314.com,tls,2024-11-04T13:05:09.768730Z,2024-11-04T13:05:09.832754Z,1,2
40.119.213.159,,app-edge.smartscreen.microsoft.com,tcp;tls,2024-11-04T13:06:03.629667Z,2024-11-04T13:06:10.678500Z,22,22
40.74.81.198,,checkappexec.microsoft.com,tcp;tls,2024-11-04T13:06:21.001185Z,2024-11-04T13:06:27.111139Z,56,52
45.121.219.185,,assets.msn.com,tls,2024-11-04T13:05:37.870864Z,2024-11-04T13:05:37.903255Z,2,4
45.121.219.242,,,tcp,2024-11-04T13:05:40.579234Z,2024-11-04T13:05:40.607010Z,2,3
52.231.230.148,,c.msn.com,tcp;tls,2024-11-04T13:05:37.784603Z,2024-11-04T13:05:40.648954Z,21,23
66.96.225.200,,ads.pro-market.net,tcp;tls,2024-11-04T13:05:09.748522Z,2024-11-04T13:05:34.439215Z,12,10
66.96.225.203,,aefd.nelreports.net,tcp;tls,2024-11-04T13:06:38.490694Z,2024-11-04T13:07:23.569176Z,15,11
66.96.225.208,,aefd.nelreports.net,tls,2024-11-04T13:07:38.584944Z,2024-11-04T13:07:38.614854Z,1,2
74.125.200.155,,td.doubleclick.net,tcp;tls,2024-11-04T13:05:35.988253Z,2024-11-04T13:05:40.604195Z,31,28
74.125.200.97,,www.googletagmanager.com,tcp;tls,2024-11-04T13:05:09.793469Z,2024-11-04T13:05:40.593005Z,198,51
74.125.24.100,,www.google-analytics.com,tcp;tls,2024-11-04T13:05:34.963897Z,2024-11-04T13:05:40.604055Z,54,31
74.125.24.139,,www.google-analytics.com,tls,2024-11-04T13:05:09.795786Z,2024-11-04T13:05:09.832754Z,1,2
74.125.68.94,,fonts.gstatic.com,tcp;tls,2024-11-04T13:05:35.049047Z,2024-11-04T13:05:40.603913Z,74,32
74.125.68.95,,fonts.googleapis.com,tcp;tls,2024-11-04T13:05:34.871280Z,2024-11-04T13:05:40.604125Z,39,35
96.17.96.30,,j.6sc.co,tcp;tls,2024-11-04T13:05:09.748933Z,2024-11-04T13:05:20.584902Z,16,10
