timestamp,frame_number,protocol,event_type,src_ip,src_port,dst_ip,dst_port,stream_id,summary
2024-11-04T13:05:09.770922Z,85,dns,dns,172.23.4.115,49620,172.23.4.1,53,,DNS www.googletagmanager.com
2024-11-04T13:05:09.771359Z,87,dns,dns,172.23.4.115,61172,172.23.4.1,53,,DNS www.googletagmanager.com
2024-11-04T13:05:09.781838Z,96,dns,dns,172.23.4.1,53,172.23.4.115,61172,,DNS www.googletagmanager.com
2024-11-04T13:05:09.788354Z,97,dns,dns,172.23.4.1,53,172.23.4.115,49620,,DNS www.googletagmanager.com 74.125.200.97
2024-11-04T13:05:09.788354Z,98,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=True ack=True rst=False
2024-11-04T13:05:09.788472Z,100,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.789155Z,102,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.789155Z,102,tls,tls,172.23.4.115,55072,96.17.96.30,443,5,TLS SNI j.6sc.co
2024-11-04T13:05:09.791433Z,103,dns,dns,172.23.4.1,53,172.23.4.115,56884,,DNS www.google-analytics.com 74.125.24.139
2024-11-04T13:05:09.791433Z,104,dns,dns,172.23.4.1,53,172.23.4.115,63570,,DNS www.google-analytics.com
2024-11-04T13:05:09.793469Z,105,tls,tls,172.23.4.115,,74.125.200.97,,,TLS SNI
2024-11-04T13:05:09.793731Z,106,tls,tls,172.23.4.115,,74.125.200.97,,,TLS SNI www.googletagmanager.com
2024-11-04T13:05:09.795786Z,108,tls,tls,172.23.4.115,,74.125.24.139,,,TLS SNI
2024-11-04T13:05:09.796079Z,109,tls,tls,172.23.4.115,,74.125.24.139,,,TLS SNI www.google-analytics.com
2024-11-04T13:05:09.799780Z,111,dns,dns,172.23.4.1,53,172.23.4.115,51678,,DNS ads.pro-market.net
2024-11-04T13:05:09.832754Z,112,dns,dns,172.23.4.1,53,172.23.4.115,59068,,DNS ads.pro-market.net 66.96.225.200
2024-11-04T13:05:09.832754Z,113,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.832754Z,114,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.832754Z,115,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.832754Z,115,tls,tls,96.17.96.30,443,172.23.4.115,55072,5,TLS SNI
2024-11-04T13:05:09.832754Z,116,tls,tls,34.117.77.79,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.832754Z,122,tls,tls,74.125.200.97,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.832754Z,128,tls,tls,74.125.24.139,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:09.836243Z,135,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.836243Z,135,tls,tls,172.23.4.115,55072,96.17.96.30,443,5,TLS SNI
2024-11-04T13:05:09.841320Z,143,tcp,tcp,172.23.4.115,55073,66.96.225.200,443,6,TCP syn=True ack=False rst=False
2024-11-04T13:05:09.847926Z,144,tcp,tcp,66.96.225.200,443,172.23.4.115,55073,6,TCP syn=True ack=True rst=False
2024-11-04T13:05:09.848056Z,145,tcp,tcp,172.23.4.115,55073,66.96.225.200,443,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.849042Z,146,tcp,tcp,172.23.4.115,55073,66.96.225.200,443,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.849042Z,146,tls,tls,172.23.4.115,55073,66.96.225.200,443,6,TLS SNI ads.pro-market.net
2024-11-04T13:05:09.854360Z,149,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.854360Z,150,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.854360Z,150,tls,tls,96.17.96.30,443,172.23.4.115,55072,5,TLS SNI
2024-11-04T13:05:09.854360Z,151,tcp,tcp,66.96.225.200,443,172.23.4.115,55073,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.855263Z,153,tcp,tcp,66.96.225.200,443,172.23.4.115,55073,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.855263Z,153,tls,tls,66.96.225.200,443,172.23.4.115,55073,6,TLS SNI
2024-11-04T13:05:09.855783Z,154,tcp,tcp,172.23.4.115,55073,66.96.225.200,443,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.855783Z,154,tls,tls,172.23.4.115,55073,66.96.225.200,443,6,TLS SNI
2024-11-04T13:05:09.865588Z,159,tcp,tcp,66.96.225.200,443,172.23.4.115,55073,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.865588Z,160,tcp,tcp,66.96.225.200,443,172.23.4.115,55073,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.865588Z,160,tls,tls,66.96.225.200,443,172.23.4.115,55073,6,TLS SNI
2024-11-04T13:05:09.916192Z,163,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:09.916766Z,164,tcp,tcp,172.23.4.115,55073,66.96.225.200,443,6,TCP syn=False ack=True rst=False
2024-11-04T13:05:12.288343Z,169,dns,dns,172.23.4.115,57994,172.23.4.1,53,,DNS www.bing.com
2024-11-04T13:05:12.289617Z,170,dns,dns,172.23.4.115,50345,172.23.4.1,53,,DNS www.bing.com
2024-11-04T13:05:12.300279Z,173,dns,dns,172.23.4.1,53,172.23.4.115,50345,,DNS www.bing.com
2024-11-04T13:05:12.322283Z,174,dns,dns,172.23.4.1,53,172.23.4.115,57994,,DNS www.bing.com 23.215.35.11
2024-11-04T13:05:12.324270Z,175,tls,tls,172.23.4.115,,23.215.35.11,,,TLS SNI
2024-11-04T13:05:12.324709Z,176,tls,tls,172.23.4.115,,23.215.35.11,,,TLS SNI www.bing.com
2024-11-04T13:05:12.334825Z,178,tls,tls,23.215.35.11,,172.23.4.115,,,TLS SNI
2024-11-04T13:05:12.825647Z,196,tcp,tcp,172.23.4.115,54880,172.23.4.22,8009,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:12.839017Z,197,tcp,tcp,172.23.4.22,8009,172.23.4.115,54880,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:12.879760Z,198,tcp,tcp,172.23.4.115,54880,172.23.4.22,8009,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:13.155375Z,205,tcp,tcp,172.23.4.115,54879,172.23.4.8,8009,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:13.162837Z,206,tcp,tcp,172.23.4.8,8009,172.23.4.115,54879,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:13.218181Z,211,tcp,tcp,172.23.4.115,54879,172.23.4.8,8009,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:13.257910Z,212,tcp,tcp,172.23.4.115,54878,172.23.4.6,8009,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:13.264203Z,213,tcp,tcp,172.23.4.6,8009,172.23.4.115,54878,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:13.310299Z,214,tcp,tcp,172.23.4.115,54878,172.23.4.6,8009,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.327441Z,231,dns,dns,172.23.4.115,53333,172.23.4.1,53,,DNS www.torproject.org
2024-11-04T13:05:14.327676Z,232,dns,dns,172.23.4.115,63871,172.23.4.1,53,,DNS www.torproject.org
2024-11-04T13:05:14.340021Z,233,dns,dns,172.23.4.1,53,172.23.4.115,63871,,DNS www.torproject.org
2024-11-04T13:05:14.411348Z,239,dns,dns,172.23.4.1,53,172.23.4.115,53333,,DNS www.torproject.org 116.202.120.165
2024-11-04T13:05:14.412939Z,240,tcp,tcp,172.23.4.115,55069,216.105.38.9,443,7,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.413595Z,241,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=True ack=False rst=False
2024-11-04T13:05:14.414148Z,244,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=True ack=False rst=False
2024-11-04T13:05:14.595625Z,247,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=True ack=True rst=False
2024-11-04T13:05:14.595625Z,248,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=True ack=True rst=False
2024-11-04T13:05:14.595748Z,249,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.595821Z,250,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.597078Z,251,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.597078Z,251,tls,tls,172.23.4.115,55075,116.202.120.165,443,9,TLS SNI www.torproject.org
2024-11-04T13:05:14.597944Z,252,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.597944Z,252,tls,tls,172.23.4.115,55074,116.202.120.165,443,8,TLS SNI www.torproject.org
2024-11-04T13:05:14.612032Z,253,tcp,tcp,216.105.38.9,443,172.23.4.115,55069,7,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.612133Z,254,tcp,tcp,172.23.4.115,55069,216.105.38.9,443,7,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.778571Z,255,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.778571Z,256,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.778571Z,257,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783004Z,258,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783004Z,258,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:14.783004Z,259,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783004Z,260,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783004Z,260,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:14.783004Z,261,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783004Z,261,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:14.783092Z,262,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783549Z,263,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783549Z,263,tls,tls,116.202.120.165,443,172.23.4.115,55074,8,TLS SNI
2024-11-04T13:05:14.783549Z,264,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783549Z,265,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783549Z,265,tls,tls,116.202.120.165,443,172.23.4.115,55074,8,TLS SNI
2024-11-04T13:05:14.783549Z,266,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.783549Z,266,tls,tls,116.202.120.165,443,172.23.4.115,55074,8,TLS SNI
2024-11-04T13:05:14.783617Z,267,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.784085Z,268,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.784085Z,268,tls,tls,172.23.4.115,55075,116.202.120.165,443,9,TLS SNI
2024-11-04T13:05:14.784533Z,269,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.784533Z,269,tls,tls,172.23.4.115,55074,116.202.120.165,443,8,TLS SNI
2024-11-04T13:05:14.957345Z,270,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.957345Z,270,tls,tls,116.202.120.165,443,172.23.4.115,55074,8,TLS SNI
2024-11-04T13:05:14.957345Z,271,tcp,tcp,116.202.120.165,443,172.23.4.115,55074,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.957345Z,271,tls,tls,116.202.120.165,443,172.23.4.115,55074,8,TLS SNI
2024-11-04T13:05:14.957345Z,272,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.957345Z,272,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:14.957391Z,273,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.961797Z,274,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:14.961797Z,274,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:14.961830Z,275,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:17.847717Z,276,tcp,tcp,172.23.4.115,54880,172.23.4.22,8009,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:17.864576Z,277,tcp,tcp,172.23.4.22,8009,172.23.4.115,54880,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:17.909084Z,278,tcp,tcp,172.23.4.115,54880,172.23.4.22,8009,0,TCP syn=False ack=True rst=False
2024-11-04T13:05:18.163890Z,279,tcp,tcp,172.23.4.115,54879,172.23.4.8,8009,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:18.180219Z,280,tcp,tcp,172.23.4.8,8009,172.23.4.115,54879,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:18.233276Z,281,tcp,tcp,172.23.4.115,54879,172.23.4.8,8009,1,TCP syn=False ack=True rst=False
2024-11-04T13:05:18.292870Z,282,tcp,tcp,172.23.4.115,54878,172.23.4.6,8009,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:18.301427Z,283,tcp,tcp,172.23.4.6,8009,172.23.4.115,54878,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:18.363026Z,284,tcp,tcp,172.23.4.115,54878,172.23.4.6,8009,2,TCP syn=False ack=True rst=False
2024-11-04T13:05:19.972250Z,285,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:19.972250Z,285,tls,tls,96.17.96.30,443,172.23.4.115,55072,5,TLS SNI
2024-11-04T13:05:19.972250Z,286,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:19.972250Z,286,tls,tls,96.17.96.30,443,172.23.4.115,55072,5,TLS SNI
2024-11-04T13:05:19.972250Z,287,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:19.972250Z,288,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:19.972292Z,289,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.558657Z,290,tcp,tcp,172.23.4.115,55072,96.17.96.30,443,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.584902Z,291,tcp,tcp,96.17.96.30,443,172.23.4.115,55072,5,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.671545Z,292,dns,dns,172.23.4.115,63996,172.23.4.1,53,,DNS www.torproject.org
2024-11-04T13:05:20.678542Z,293,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.678542Z,293,tls,tls,172.23.4.115,55075,116.202.120.165,443,9,TLS SNI
2024-11-04T13:05:20.782517Z,294,dns,dns,172.23.4.1,53,172.23.4.115,63996,,DNS www.torproject.org 95.216.163.36
2024-11-04T13:05:20.789620Z,295,dns,dns,172.23.4.115,51037,172.23.4.1,53,,DNS nav-edge.smartscreen.microsoft.com
2024-11-04T13:05:20.790298Z,296,dns,dns,172.23.4.115,50863,172.23.4.1,53,,DNS nav-edge.smartscreen.microsoft.com
2024-11-04T13:05:20.818599Z,297,dns,dns,172.23.4.1,53,172.23.4.115,51037,,DNS nav-edge.smartscreen.microsoft.com 20.194.184.156
2024-11-04T13:05:20.820564Z,298,dns,dns,172.23.4.1,53,172.23.4.115,50863,,DNS nav-edge.smartscreen.microsoft.com
2024-11-04T13:05:20.822382Z,299,tcp,tcp,172.23.4.115,55076,20.194.184.156,443,10,TCP syn=True ack=False rst=False
2024-11-04T13:05:20.850051Z,300,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.850051Z,300,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:20.850051Z,301,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.850051Z,302,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.850051Z,303,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.850268Z,304,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.865139Z,305,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.865139Z,306,tcp,tcp,116.202.120.165,443,172.23.4.115,55075,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.865139Z,306,tls,tls,116.202.120.165,443,172.23.4.115,55075,9,TLS SNI
2024-11-04T13:05:20.865303Z,307,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.900368Z,308,tcp,tcp,172.23.4.115,55075,116.202.120.165,443,9,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.900368Z,308,tls,tls,172.23.4.115,55075,116.202.120.165,443,9,TLS SNI
2024-11-04T13:05:20.900918Z,309,tcp,tcp,172.23.4.115,55074,116.202.120.165,443,8,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.900918Z,309,tls,tls,172.23.4.115,55074,116.202.120.165,443,8,TLS SNI
2024-11-04T13:05:20.909781Z,310,tcp,tcp,20.194.184.156,443,172.23.4.115,55076,10,TCP syn=True ack=True rst=False
2024-11-04T13:05:20.909903Z,311,tcp,tcp,172.23.4.115,55076,20.194.184.156,443,10,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.911287Z,312,tcp,tcp,172.23.4.115,55076,20.194.184.156,443,10,TCP syn=False ack=True rst=False
2024-11-04T13:05:20.911287Z,312,tls,tls,172.23.4.115,55076,20.194.184.156,443,10,TLS SNI nav-edge.smartscreen.microsoft.com
2024-11-04T13:05:20.945788Z,313,tcp,tcp,172.23.4.115,55077,116.202.120.165,443,11,TCP syn=True ack=False rst=False
2024-11-04T13:05:20.946689Z,314,tcp,tcp,172.23.4.115,55078,116.202.120.165,443,12,TCP syn=True ack=False rst=False
2024-11-04T13:05:20.947422Z,315,tcp,tcp,172.23.4.115,55079,116.202.120.165,443,13,TCP syn=True ack=False rst=False
2024-11-04T13:05:20.948844Z,316,tcp,tcp,172.23.4.115,55080,116.202.120.165,443,14,TCP syn=True ack=False rst=False
2024-11-04T13:05:21.002306Z,317,tcp,tcp,20.194.184.156,443,172.23.4.115,55076,10,TCP syn=False ack=True rst=False
2024-11-04T13:05:21.002306Z,318,tcp,tcp,20.194.184.156,443,172.23.4.115,55076,10,TCP syn=False ack=True rst=False
2024-11-04T13:05:21.002306Z,318,tls,tls,20.194.184.156,443,172.23.4.115,55076,10,TLS SNI
2024-11-04T13:05:21.002306Z,319,tcp,tcp,20.194.184.156,443,172.23.4.115,55076,10,TCP syn=False ack=True rst=False
2024-11-04T13:05:21.002306Z,320,tcp,tcp,20.194.184.156,443,172.23.4.115,55076,10,TCP syn=False ack=True rst=False
